,rating,title,description,helpful
54,4,Two new chapters to a 40 year old classic,"  This is the 40th anniversary of the publication of Richard Dawkins' first book The Selfish Gene.  This book does not update the original text but instead adds two new chapters.  It's interesting reading his thoughts/predictions about computers, parenting, etc with 40 years of hindsight. This book is mostly about biology and has very little discussion about religion in case you were hoping for that or planning to avoid it because of that.",0
55,5,A must read,"  This is the classic re-thinking , or expansion on the evolutionary theory since darwin himself. This brings forth a new edition with a new extension to whet the appetite of those that would carry the torch of reason and fact forward. Not an ""easy"" read, but an accessible read for those that want a better understanding of evolutionary thought and science. A must read for evolutionary scientists.",0
56,4,Original Text with Updated Views -- Excellent!,"  I read the original in the 70s and, while not an update of the original text, it does add additional writings.  Most helpful was the long intro section which updates Dr Dawkins views and provides additional info on what has happened during the intervening years.  Get this if you want to reread the original text with an added manuscript and updated information.  Otherwise, the original text stands the test of time.",0
57,2,I read her essays and books before reading Darwin's THE EXPRESSION OF THE EMOTIONS IN MAN AND ANIMALS and scientists like Donald Griffin,"  I've had a long hate-hate relationship with this book and I was hoping that upon a fresh reading of the book I might feel differently than I have in the past. Unfortunately, reading this extended edition has merely reconfirmed my previous feeling.I'm not an expert on evolutionary theory, but in reading Darwin and a few ethologists the impression that I've gotten is that the higher step on the evolutionary ladder is not selfishness or supreme self-concern, but empathy, compassion, and sympathy. ""The Compassionate Gene"" would be a title for a more nuanced, sophisticated, and accurate project. I will confess that my thinking on this has been greatly influenced by Mary Midgley, who  has frequently crossed pens with Professor Dawkins in British academic journals and magazines. More than any other Anglo-American philosopher, Midgley has taken seriously the idea that humans are not separate and above the animal world, but a part of it. Her interest in ethology and animal behavior is distinct from an interest in evolutionary theory, but her knowledge of that is profound. I read her essays and books before reading Darwin's THE EXPRESSION OF THE EMOTIONS IN MAN AND ANIMALS and scientists like Donald Griffin, and this has shaped an understanding of human behavior that sees compassionate behavior as normative, not selfish inclinations. Moreover, I see little to no scientific evidence for any of Dawkins's claims and nothing in his position helps me understand human behavior, not the way that such recent works in cognitive science lik Steven Pinker's THE BETTER ANGELS OF OUR NATURE: WHY VIOLENCE HAS DECLINED, or an animal behaviorists such as Frans de Waal. This is not to say that humans are incapable of violence or selfish behavior. That would be absurd. But I don't see any evidence of selfishness being primal in a way that compassion is not. In fact, there is something wrong with someone who is selfish to the exclusion of any capacity for love or sympathy. We think that someone who is especially selfish to be broken. I hate to introduce politics into this, but as I write this American democracy is in danger of being broken by a president who seems willing to destroy the rule of law because a special prosecutor has apparently made discoveries that endangers his presidency. So instead of allowing the investigation to proceed unimpeded, he seems tempted to destroy faith and confidence in all of our nations ideals and institutions, because that is not in his own self-interest. He seems to think, ""Better that I destroy the FBI, the independence of the Justice Department, the national confidence in our court systems, than I be found guilty of wrong doing."" We think such a person to be selfish to an unusual degree, not that he is especially human by being this self-concerned.  On the other hand, we think of deeply compassionate individuals as representing the best of humanity, our idea of ideal humans, not that they are less human or subhuman. Darwin himself denied that selfish, individualistic behavior was the highest point of evolution, but instead that compassionate, cooperative, deeply social behavior was. But, then, Dawkins's ideas have little to nothing to do with Darwin, but instead is much closer to T. H. Huxley and the hyper individualist Herbert Spencer. Dawkins's starting position seems to assume the truth of social darwinism, whereas Darwin would have repudiated social darwinism (I refuse to capitalize the ""d"" in social darwinism, because to do so would seem to link those ideas to Darwin himself, which would have pained him as much as Karl Marx would have been horrified at Soviet Russia claiming to be a Marxist state).Instead of Dawkins's book, which I truly do think is a very, very bad book, I would recommend any of another texts. I mentioned Darwin's book on emotions in humans and animals. It is extremely readable and shows a side of Darwin that might surprise many. Pinker has written a follow up to  THE BETTER ANGELS OF OUR NATURE and recommend both books. Midgley's complaints with the kind of ideas found in Dawkins's book can be found in a number of her books, such as BEAST AND MAN and ANIMALS AND WHY THEY MATTER, but the single best place would be THE SOLITARY SELF: DARWIN AND THE SELF GENE. The latter is a superb example of the kind of supreme common sense that many of the best British thinkers can evince. Now 98 years old, she is the last surviving member of the first generation of professional women philosophers in England. Just off topic for a second, I have often wished that someone would find a way to do a mini series about this remarkable group of women. They include such figures as Irish Murdoch, Elizabeth Anscombe, Mary Warnock, Midgley, and the very great Philippa Foot. Most of them moved to London during WW II and that is where I'd love to see this mini-series taking place, as Murdoch and Foot room together in London, with Murdoch engaging in one affair after another, including one with the man that Foot was quietly in love with (Michael Foot, whom she married and whose name she obviously took), with the brilliant and abrasive Anscombe exploding on the scene",0
58,5,brilliant,"  The book was written in the seventies, but still has good solid science. It is written very well, and easy to read. This issue is updated with numerous footnotes with additions and corrections and explanations, plus there are two chapters from The Extended Phenotype book added for better understanding of the material and to refute some erroneous interpretations of the theory.",0
59,5,"Relevant reading for all, small print book.","  There is no denying the relevance of The Selfish Gene. It is a hard read for some as it makes you question many aspects of your life, of life in general. This Extended version is a quality book with included book marker. One note for those with bad vision, the words are small print.",0
60,5,Over Twice the Length of the Original,"  Much more than an ""extension,"" this book is much longer than the first version. It is the 40th anniversary ed with additional material, added notes, and some new introductory material.",0
61,3,"blah, meh, talk talk talk","  Nothing new from Dawkins here. Maybe he needed to pay the rent or buy a new jet. This is just a rehashing of the Selfish Gene with what is claimed to be new ""evidence"" but not really that new if you keep up with the scientific papers.If anything, I thought the writing was more monotonous in this one, less anecdotal, and less bang for the buck.I'd prefer a shortened Selfish Gene.",0
62,,,,0.0
63,,,,0.0
64,,,,0.0
65,,,,0.0
66,,,,0.0
67,,,,0.0
68,,,,0.0
69,,,,0.0
